City,Latitude,Longitude,Country,Date,Max Temperature (F),Humidity %,Cloudiness %,Wind (mph)
Iqaluit,63.75,-68.52,CA,1572372512,32.0,99,90,2.24
Thinadhoo,0.53,72.93,MV,1572372512,81.95,75,100,8.34
Ponta do Sol,-20.63,-46.0,BR,1572372512,79.81,59,89,11.12
Avarua,-21.21,-159.78,CK,1572372462,71.6,73,100,10.29
Busselton,-33.64,115.35,AU,1572372512,53.01,67,83,0.63
Karratha,-20.74,116.85,AU,1572372513,81.81,50,13,12.64
Peniche,39.36,-9.38,PT,1572372513,68.0,93,20,8.05
Castro,-42.48,-73.76,CL,1572372513,50.0,81,75,12.75
Shaunavon,49.65,-108.41,CA,1572372513,14.14,75,100,17.69
East London,-33.02,27.91,ZA,1572372513,62.6,59,20,23.04
Victoria,5.28,115.24,BN,1572372514,78.8,88,75,3.36
Shache,38.42,77.24,CN,1572372514,49.78,21,0,4.63
Clyde River,70.47,-68.59,CA,1572372514,30.2,100,75,11.41
Butaritari,3.07,172.79,KI,1572372515,84.74,69,93,6.73
Kaitangata,-46.28,169.85,NZ,1572372515,45.0,87,100,13.35
Katsuura,33.93,134.5,JP,1572372515,55.4,93,20,9.17
Pitea,65.32,21.48,SE,1572372515,23.0,85,2,4.7
Ispas,48.29,25.26,UA,1572372515,46.4,75,100,2.24
Barrow,-38.31,-60.23,AR,1572372516,72.01,44,0,4.25
Ushuaia,-54.81,-68.31,AR,1572372516,50.0,36,20,6.93
Rikitea,-23.12,-134.97,PF,1572372516,72.41,78,84,7.56
Kapaa,22.08,-159.32,US,1572372342,71.6,83,1,10.29
Kerman,30.29,57.06,IR,1572372516,62.6,25,20,6.93
Saint George,39.45,22.34,GR,1572372325,60.8,87,0,5.82
Novato,38.11,-122.57,US,1572372517,63.0,50,1,8.05
Cayenne,4.94,-52.33,GF,1572372517,91.4,55,20,11.41
Salalah,17.01,54.1,OM,1572372517,84.2,42,0,4.7
Badiraguato,25.36,-107.55,MX,1572372517,84.99,48,20,4.25
De Aar,-30.65,24.01,ZA,1572372517,54.14,13,0,8.81
Saint-Philippe,45.36,-73.48,CA,1572372518,63.0,59,40,19.46
Ribeira Grande,38.52,-28.7,PT,1572372518,68.0,82,75,13.87
Coahuayana,18.62,-100.35,MX,1572372518,82.49,71,86,2.42
Quatre Cocos,-20.21,57.76,MU,1572372518,73.4,78,75,7.27
Punta Arenas,-53.16,-70.91,CL,1572372518,50.0,45,0,16.11
Lebu,8.96,38.73,ET,1572372519,51.82,55,97,4.74
Bluff,-23.58,149.07,AU,1572372519,66.42,84,91,12.35
Kalmunai,7.42,81.82,LK,1572372519,79.95,83,100,13.8
Sitka,37.17,-99.65,US,1572372519,32.0,72,42,7.0
Tommot,58.97,126.27,RU,1572372520,11.91,89,13,3.78
Cabo San Lucas,22.89,-109.91,MX,1572372342,84.0,51,20,5.82
Avera,33.19,-82.53,US,1572372520,73.4,88,90,4.7
Arraial do Cabo,-22.97,-42.02,BR,1572372520,91.4,62,20,21.92
Ritchie,-29.03,24.6,ZA,1572372520,66.2,12,0,3.36
Simbahan,6.3,120.58,PH,1572372521,83.5,69,99,3.02
Seoul,37.57,126.98,KR,1572372521,48.2,100,1,1.12
Inhambane,-23.87,35.38,MZ,1572372521,73.4,83,75,9.17
Barranca,-10.75,-77.76,PE,1572372521,61.84,88,84,9.53
Albany,42.65,-73.75,US,1572372423,63.0,67,90,9.17
Vytegra,61.01,36.45,RU,1572372522,19.35,92,94,3.31
Menongue,-14.66,17.68,AO,1572372522,76.87,31,80,4.99
Laguna,16.17,-88.94,BZ,1572372522,86.0,79,40,6.93
Carutapera,-1.2,-46.02,BR,1572372522,81.61,77,67,20.33
Atuona,-9.8,-139.03,PF,1572372523,79.27,75,8,16.64
Chuy,-33.69,-53.46,UY,1572372523,68.58,82,100,10.04
Nome,30.04,-94.42,US,1572372523,77.0,73,75,16.11
Jijiga,9.35,42.8,ET,1572372585,63.16,46,85,7.9
Plouzane,48.38,-4.62,FR,1572372585,53.01,93,90,10.29
Bereda,43.27,-7.54,ES,1572372585,66.99,82,40,10.29
Melendugno,40.27,18.34,IT,1572372585,68.0,88,0,4.7
Svetlaya,46.54,138.33,RU,1572372585,46.38,73,18,19.77
Verkhnevilyuysk,63.45,120.31,RU,1572372586,14.52,93,59,9.6
Ivanava,52.14,25.53,BY,1572372586,41.86,62,43,7.67
Manakara,-22.14,48.01,MG,1572372586,74.43,94,83,3.4
San Patricio,-26.98,-56.83,PY,1572372586,103.05,29,0,10.47
Batemans Bay,-35.71,150.18,AU,1572372441,60.01,91,89,1.01
Hobart,-42.88,147.33,AU,1572372587,50.0,57,90,9.17
Cockburn Town,21.46,-71.14,TC,1572372587,81.84,78,15,17.78
Geraldton,49.72,-86.95,CA,1572372587,35.6,47,75,10.29
Basavana Bagevadi,16.57,75.97,IN,1572372587,73.35,87,29,8.14
Mataura,-46.19,168.86,NZ,1572372588,48.0,85,100,5.01
Luau,-10.7,22.23,CD,1572372588,66.9,94,55,5.99
Vaini,15.34,74.49,IN,1572372588,68.94,94,28,4.94
Tala,20.65,-103.7,MX,1572372588,77.0,57,40,2.39
Walvis Bay,-22.95,14.51,NA,1572372588,66.2,55,0,9.17
Pevek,69.7,170.27,RU,1572372589,-0.42,95,100,9.08
Cape Town,-33.93,18.42,ZA,1572372589,61.0,38,40,9.17
Mazagao,-0.12,-51.29,BR,1572372589,95.0,47,40,13.87
Yerbogachen,61.28,108.01,RU,1572372589,32.54,97,100,10.6
Shingu,33.72,135.99,JP,1572372589,62.08,78,23,6.31
Hermanus,-34.42,19.24,ZA,1572372590,55.99,69,50,1.99
Qaanaaq,77.48,-69.36,GL,1572372590,7.79,83,83,8.86
Duluth,46.77,-92.13,US,1572372590,35.01,47,1,13.87
Bredasdorp,-34.53,20.04,ZA,1572372590,59.0,47,0,14.99
Vardo,39.62,-77.74,US,1572372590,66.2,63,75,6.93
Port Augusta,-32.49,137.76,AU,1572372591,61.0,51,36,5.82
Taksimo,56.36,114.84,RU,1572372591,13.87,95,100,1.7
Georgetown,6.8,-58.16,GY,1572372591,89.6,66,75,9.17
Tiksi,71.64,128.87,RU,1572372592,5.54,95,99,1.36
Talnakh,69.49,88.39,RU,1572372592,-5.81,83,40,6.71
Jamestown,-33.21,138.6,AU,1572372592,59.56,22,54,5.99
Liberal,37.04,-100.92,US,1572372592,32.0,63,40,6.93
Baruun-Urt,46.68,113.28,MN,1572372592,33.94,71,7,6.64
Hobyo,5.35,48.53,SO,1572372593,81.81,72,12,10.83
Torbay,47.66,-52.73,CA,1572372593,44.01,87,90,25.28
Chapais,49.78,-74.86,CA,1572372445,48.2,87,90,13.87
Kaithal,29.8,76.4,IN,1572372593,73.69,43,100,1.7
Nipawin,53.36,-104.02,CA,1572372594,19.4,73,90,21.92
Cherskiy,68.75,161.3,RU,1572372594,-2.19,82,10,7.92
Bom Jesus,-9.08,-44.36,BR,1572372594,97.14,20,83,7.31
Yellowknife,62.45,-114.38,CA,1572372594,24.8,85,90,20.8
Hofu,34.05,131.57,JP,1572372595,62.6,72,3,5.82
Severo-Kurilsk,50.68,156.12,RU,1572372595,33.3,93,48,4.23
Puerto Ayora,-0.74,-90.35,EC,1572372595,78.8,61,20,10.29
Faya,18.39,42.45,SA,1572372595,66.2,77,2,4.07
Sokolo,14.74,-6.12,ML,1572372595,91.54,12,0,10.65
Cururupu,-1.82,-44.87,BR,1572372596,90.82,41,40,7.2
Lewistown,40.39,-90.15,US,1572372596,39.2,69,75,6.93
Grinnell,41.74,-92.72,US,1572372596,39.2,74,1,5.82
Houston,29.76,-95.37,US,1572372596,75.0,83,90,3.36
Souillac,45.6,-0.6,FR,1572372596,60.8,87,90,5.82
Freetown,26.61,-78.36,BS,1572372658,86.0,70,40,10.29
Khatanga,71.98,102.47,RU,1572372658,2.84,84,100,9.93
Saskylakh,71.97,114.09,RU,1572372658,-5.64,98,53,8.43
Dikson,73.51,80.55,RU,1572372658,6.64,91,98,11.05
Richards Bay,-28.77,32.06,ZA,1572372658,66.78,58,98,7.99
Upernavik,72.79,-56.15,GL,1572372659,26.06,95,100,6.8
Yanzhou,35.55,116.82,CN,1572372659,52.86,26,0,7.47
Beterou,9.2,2.26,BJ,1572372659,75.36,88,62,3.42
Aksu,52.04,76.93,KZ,1572372659,44.6,87,100,4.47
Adrar,27.87,-0.29,DZ,1572372660,82.4,15,33,8.05
Klaksvik,62.23,-6.59,FO,1572372660,42.8,81,68,11.41
Husavik,50.56,-96.99,CA,1572372660,24.01,72,77,7.0
Port Alfred,-33.59,26.89,ZA,1572372611,62.01,63,0,11.01
Zelenoborskiy,66.84,32.36,RU,1572372660,23.0,85,30,8.84
Demidov,55.27,31.52,RU,1572372661,33.01,80,97,9.4
Poso,-1.4,120.75,ID,1572372661,66.07,87,62,3.06
Port Macquarie,-31.43,152.91,AU,1572372402,59.0,87,90,14.23
Hualmay,-11.1,-77.61,PE,1572372661,70.25,58,50,10.18
Luderitz,-26.65,15.16,NA,1572372661,64.4,55,22,18.34
Perelyub,51.87,50.37,RU,1572372662,38.44,70,82,7.4
Iwanai,42.97,140.51,JP,1572372662,48.7,82,45,13.47
Ancud,-41.87,-73.83,CL,1572372662,50.0,81,75,12.75
Zhangjiakou,40.77,114.88,CN,1572372662,37.63,45,23,3.76
Hilo,19.71,-155.08,US,1572372663,75.0,73,75,5.82
Henties Bay,-22.12,14.28,NA,1572372663,59.0,81,0,3.0
Kurchum,48.57,83.65,KZ,1572372663,45.68,62,0,4.9
Sharjah,25.36,55.39,AE,1572372663,89.6,38,9,5.82
Betamcherla,15.47,78.17,IN,1572372663,73.06,87,65,7.25
Changji,32.07,116.17,CN,1572372664,57.87,31,0,3.78
Thompson,55.74,-97.86,CA,1572372664,21.2,85,90,14.99
Shihezi,44.3,86.03,CN,1572372664,52.5,41,0,9.19
Airai,-8.93,125.41,TL,1572372664,63.23,60,12,2.95
Chicama,-7.84,-79.15,PE,1572372664,66.2,77,90,10.29
Fidenza,44.86,10.07,IT,1572372665,63.0,100,90,6.93
Dombarovskiy,50.76,59.54,RU,1572372665,49.05,69,43,7.36
Rincon,8.46,-82.28,PA,1572372665,86.0,70,40,11.41
Mahon,51.89,-8.4,IE,1572372665,50.0,81,75,20.8
Axim,4.87,-2.24,GH,1572372665,76.03,91,96,6.04
Kokemaki,61.26,22.36,FI,1572372666,30.2,92,54,5.82
Uige,-7.61,15.06,AO,1572372666,70.68,94,100,1.83
Bom Jardim,-7.8,-35.59,BR,1572372666,84.2,45,40,16.11
Shelburne,44.08,-80.2,CA,1572372666,59.0,77,90,5.82
Leticia,-4.21,-69.94,CO,1572372667,86.0,79,75,4.7
Murgab,37.5,61.97,TM,1572372667,64.4,68,75,3.74
New Norfolk,-42.78,147.06,AU,1572372667,50.0,57,90,9.17
Faanui,-16.48,-151.75,PF,1572372668,79.54,75,65,10.51
Yarada,17.65,83.27,IN,1572372668,80.6,83,40,2.24
Dhing,26.46,92.48,IN,1572372668,72.1,90,5,4.05
Rio Gallegos,-51.62,-69.22,AR,1572372423,50.0,39,40,8.05
Vajszlo,45.86,17.98,HU,1572372669,46.99,93,90,8.05
Praia da Vitoria,38.73,-27.07,PT,1572372669,69.8,77,40,23.24
Slave Lake,55.28,-114.77,CA,1572372669,15.8,72,1,8.05
Sloboda,48.46,24.82,UA,1572372670,42.8,75,75,4.47
Dalmatovo,56.26,62.94,RU,1572372731,28.9,71,37,4.41
Kambove,-10.88,26.6,CD,1572372731,70.36,69,93,5.61
Tuy Hoa,13.08,109.3,VN,1572372731,80.29,80,100,31.16
Leningradskiy,69.38,178.42,RU,1572372731,16.81,83,100,29.93
Tiznit,29.7,-9.73,MA,1572372732,69.73,45,0,6.58
Puerto Ayacucho,5.66,-67.63,CO,1572372732,90.5,55,7,4.88
Tuktoyaktuk,69.44,-133.03,CA,1572372732,33.8,86,75,13.87
Smithers,54.78,-127.17,CA,1572372733,26.6,92,20,0.72
Gemena,3.25,19.78,CD,1572372733,70.7,97,100,0.27
Ouadda,8.07,22.4,CF,1572372733,70.14,73,71,3.2
Namatanai,-3.66,152.44,PG,1572372733,81.5,78,95,8.3
Cernay,47.81,7.18,FR,1572372733,46.4,100,90,6.93
Kruisfontein,-34.0,24.73,ZA,1572372734,52.9,70,0,17.13
Beyneu,45.32,55.19,KZ,1572372734,61.92,32,99,10.98
Norman Wells,65.28,-126.83,CA,1572372734,26.6,79,90,2.1
La Tuque,47.44,-72.79,CA,1572372555,48.25,89,100,11.77
Garden City,43.62,-116.24,US,1572372735,33.01,73,75,11.41
Berlevag,70.86,29.09,NO,1572372735,33.8,64,75,20.8
Gigmoto,13.78,124.39,PH,1572372735,82.98,79,100,10.92
Nanakuli,21.39,-158.15,US,1572372735,82.0,88,40,4.7
Churapcha,62.0,132.43,RU,1572372736,8.64,96,54,4.16
Freising,48.4,11.74,DE,1572372736,46.4,87,100,3.36
